File Title: ,C:\Users\slank\Desktop\SPS87.LOG
File Name: ,C:\Users\slank\Desktop\SPS87.LOG
Start Time:,2/15/2017 10:12:02 AM
End Time:,2/15/2017 1:00:00 PM
Interval:,1
Records:,3613
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Volume (gal/m),Error #
2/15/2017 10:12:02 AM,0,1
2/15/2017 10:12:04 AM,0,1
2/15/2017 10:12:05 AM,0,1
2/15/2017 10:12:06 AM,0,1
2/15/2017 10:12:07 AM,0,1
2/15/2017 10:12:08 AM,0,1
2/15/2017 10:12:09 AM,0,1
2/15/2017 10:12:11 AM,0,1
2/15/2017 10:12:12 AM,0,1
2/15/2017 10:12:13 AM,0,1
2/15/2017 10:12:15 AM,0,1
2/15/2017 10:12:16 AM,0,1
2/15/2017 10:12:17 AM,0,1
2/15/2017 10:12:18 AM,0,1
2/15/2017 10:12:19 AM,0,1
2/15/2017 10:12:20 AM,0,1
2/15/2017 10:12:21 AM,0,1
2/15/2017 10:12:23 AM,0,1
2/15/2017 10:12:24 AM,0,1
2/15/2017 10:12:25 AM,0,1
2/15/2017 10:12:26 AM,0,1
2/15/2017 10:12:27 AM,0,1
2/15/2017 10:12:28 AM,0,1
2/15/2017 10:12:29 AM,0,1
2/15/2017 10:12:31 AM,0,1
2/15/2017 10:12:32 AM,0,1
2/15/2017 10:12:33 AM,0,1
2/15/2017 10:12:34 AM,0,1
2/15/2017 10:12:35 AM,0,1
2/15/2017 10:12:37 AM,0,1
2/15/2017 10:12:39 AM,0,1
2/15/2017 10:12:41 AM,0,1
2/15/2017 10:12:42 AM,0,1
2/15/2017 10:12:43 AM,0,1
2/15/2017 10:12:44 AM,0,1
2/15/2017 10:12:45 AM,0,1
2/15/2017 10:12:47 AM,0,1
2/15/2017 10:12:48 AM,0,1
2/15/2017 10:12:49 AM,0,1
2/15/2017 10:12:50 AM,0,1
2/15/2017 10:12:51 AM,0,1
2/15/2017 10:12:52 AM,0,1
2/15/2017 10:12:54 AM,0,1
2/15/2017 10:12:55 AM,0,1
2/15/2017 10:12:57 AM,0,1
2/15/2017 10:12:58 AM,0,1
2/15/2017 10:12:59 AM,0,1
2/15/2017 10:13:00 AM,0,1
2/15/2017 10:13:01 AM,0,1
2/15/2017 10:13:02 AM,0,1
2/15/2017 10:13:03 AM,0,1
2/15/2017 10:13:04 AM,0,1
2/15/2017 10:13:06 AM,0,1
2/15/2017 10:13:07 AM,0,1
2/15/2017 10:13:08 AM,0,1
2/15/2017 10:13:09 AM,0,1
2/15/2017 10:13:10 AM,0,1
2/15/2017 10:13:11 AM,0,1
2/15/2017 10:13:12 AM,0,1
2/15/2017 10:13:14 AM,0,1
2/15/2017 10:13:15 AM,0,1
2/15/2017 10:13:16 AM,0,1
2/15/2017 10:13:17 AM,0,1
2/15/2017 10:13:18 AM,0,1
2/15/2017 10:13:19 AM,0,1
2/15/2017 10:13:20 AM,0,1
2/15/2017 10:13:22 AM,0,1
2/15/2017 10:13:23 AM,0,1
2/15/2017 10:13:24 AM,0,1
2/15/2017 10:13:25 AM,0,1
2/15/2017 10:13:26 AM,0,1
2/15/2017 10:13:27 AM,0,1
2/15/2017 10:13:28 AM,0,1
2/15/2017 10:13:29 AM,0,1
2/15/2017 10:13:30 AM,0,1
2/15/2017 10:13:31 AM,0,1
2/15/2017 10:13:33 AM,0,1
2/15/2017 10:13:34 AM,0,1
2/15/2017 10:13:35 AM,0,1
2/15/2017 10:13:36 AM,0,1
2/15/2017 10:13:37 AM,0,1
2/15/2017 10:13:38 AM,0,1
2/15/2017 10:13:39 AM,0,1
2/15/2017 10:13:41 AM,0,1
2/15/2017 10:13:42 AM,0,1
2/15/2017 10:13:43 AM,0,1
2/15/2017 10:13:44 AM,0,1
2/15/2017 10:13:45 AM,0,1
2/15/2017 10:13:46 AM,0,1
2/15/2017 10:13:47 AM,0,1
2/15/2017 10:13:49 AM,0,1
2/15/2017 10:13:50 AM,0,1
