File Title: ,C:\Users\slank\Desktop\SPS36.LOG
File Name: ,C:\Users\slank\Desktop\SPS36.LOG
Start Time:,8/10/2017 9:07:16 AM
End Time:,8/10/2017 1:30:00 PM
Interval:,1
Records:,1331
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Velocity (ft/s),Volume (gal/m),Error #
8/10/2017 9:08:52 AM,-1.01533229835282E-03,-3.79989984708785E-02,2
8/10/2017 9:08:53 AM,0,0,5
8/10/2017 9:08:55 AM,0,0,5
8/10/2017 9:08:56 AM,0,0,5
8/10/2017 9:08:58 AM,0,0,5
8/10/2017 9:08:59 AM,0,0,5
8/10/2017 9:09:00 AM,0,0,5
8/10/2017 9:09:01 AM,0,0,5
8/10/2017 9:09:03 AM,0,0,5
8/10/2017 9:09:04 AM,0,0,5
8/10/2017 9:09:05 AM,0,0,0
8/10/2017 9:09:06 AM,0,0,0
8/10/2017 9:09:08 AM,-5.92274028002201E-03,-0.221659647003331,0
8/10/2017 9:09:09 AM,-5.92274028002201E-03,-0.221659647003331,0
8/10/2017 9:09:11 AM,-2.58387930178171E-03,-9.67021592798962E-02,0
8/10/2017 9:09:12 AM,-2.58387930178171E-03,-9.67021592798962E-02,0
8/10/2017 9:09:14 AM,3.62174250254641E-03,0.135544380927744,0
8/10/2017 9:09:15 AM,3.62174250254641E-03,0.135544380927744,0
8/10/2017 9:09:16 AM,3.62174250254641E-03,0.135544380927744,0
8/10/2017 9:09:17 AM,-1.28199258813148E-03,-4.79788089821581E-02,0
8/10/2017 9:09:19 AM,-1.28199258813148E-03,-4.79788089821581E-02,0
8/10/2017 9:09:20 AM,4.36023900754383E-03,0.163182748789843,0
8/10/2017 9:09:22 AM,4.36023900754383E-03,0.163182748789843,0
8/10/2017 9:09:23 AM,1.3699431960809E-03,5.12703767008298E-02,0
8/10/2017 9:09:24 AM,1.3699431960809E-03,5.12703767008298E-02,0
8/10/2017 9:09:25 AM,1.3699431960809E-03,5.12703767008298E-02,0
8/10/2017 9:09:26 AM,1.3699431960809E-03,5.12703767008298E-02,0
8/10/2017 9:09:27 AM,1.66439415841095E-03,6.22902582563364E-02,0
8/10/2017 9:09:28 AM,1.66439415841095E-03,6.22902582563364E-02,0
8/10/2017 9:09:30 AM,3.53229404773365E-03,0.132196756014042,0
8/10/2017 9:09:31 AM,3.53229404773365E-03,0.132196756014042,0
8/10/2017 9:09:32 AM,3.53229404773365E-03,0.132196756014042,0
8/10/2017 9:09:33 AM,2.64642643208167E-03,9.90429971636923E-02,0
8/10/2017 9:09:34 AM,2.64642643208167E-03,9.90429971636923E-02,0
8/10/2017 9:09:35 AM,2.64642643208167E-03,9.90429971636923E-02,0
8/10/2017 9:09:37 AM,1.7842427870516E-03,6.67756152806731E-02,0
8/10/2017 9:09:38 AM,1.7842427870516E-03,6.67756152806731E-02,0
8/10/2017 9:09:39 AM,9.09660770141814E-04,3.40442220440676E-02,0
8/10/2017 9:09:40 AM,9.09660770141814E-04,3.40442220440676E-02,0
8/10/2017 9:09:41 AM,9.09660770141814E-04,3.40442220440676E-02,0
8/10/2017 9:09:42 AM,-1.47170495640496E-04,-5.50788293435962E-03,0
8/10/2017 9:09:43 AM,-1.47170495640496E-04,-5.50788293435962E-03,0
8/10/2017 9:09:44 AM,-1.47170495640496E-04,-5.50788293435962E-03,0
8/10/2017 9:09:46 AM,-1.27466127425304E-03,-4.77044332085241E-02,0
8/10/2017 9:09:47 AM,-1.27466127425304E-03,-4.77044332085241E-02,0
8/10/2017 9:09:49 AM,-2.33168363807572E-03,-8.72636900663462E-02,0
8/10/2017 9:09:50 AM,-2.33168363807572E-03,-8.72636900663462E-02,0
8/10/2017 9:09:52 AM,-3.66786463667664E-03,-0.137270510301479,0
8/10/2017 9:09:54 AM,-3.66786463667664E-03,-0.137270510301479,0
8/10/2017 9:09:55 AM,-4.78190847221474E-03,-0.17896380625176,0
8/10/2017 9:09:57 AM,-4.78190847221474E-03,-0.17896380625176,0
8/10/2017 9:09:58 AM,-5.93023238427844E-03,-0.221940040386507,0
8/10/2017 9:09:59 AM,-5.93023238427844E-03,-0.221940040386507,0
8/10/2017 9:10:00 AM,-5.93023238427844E-03,-0.221940040386507,0
8/10/2017 9:10:01 AM,-6.86832414883048E-03,-0.25704829763843,0
8/10/2017 9:10:03 AM,-6.86832414883048E-03,-0.25704829763843,0
8/10/2017 9:10:05 AM,-7.81692843832987E-03,-0.292549988074786,0
8/10/2017 9:10:06 AM,-7.81692843832987E-03,-0.292549988074786,0
8/10/2017 9:10:07 AM,-7.81692843832987E-03,-0.292549988074786,0
8/10/2017 9:10:08 AM,-8.74088512912484E-03,-0.327129237585153,0
