File Title: ,C:\Users\slank\Desktop\SPS90.LOG
File Name: ,C:\Users\slank\Desktop\SPS90.LOG
Start Time:,3/8/2017 10:06:49 AM
End Time:,3/8/2017 1:00:00 PM
Interval:,1
Records:,4331
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Volume (gal/m),Error #
3/8/2017 10:06:49 AM,0,2
3/8/2017 10:06:50 AM,0,2
3/8/2017 10:06:51 AM,0,2
3/8/2017 10:06:52 AM,0,2
3/8/2017 10:06:53 AM,0,2
3/8/2017 10:06:55 AM,0,2
3/8/2017 10:06:56 AM,0,2
3/8/2017 10:06:57 AM,0,2
3/8/2017 10:06:58 AM,0,2
3/8/2017 10:06:59 AM,0,2
3/8/2017 10:07:00 AM,0,2
3/8/2017 10:07:02 AM,0,2
3/8/2017 10:07:03 AM,0,2
3/8/2017 10:07:05 AM,0,2
3/8/2017 10:07:06 AM,0,3
3/8/2017 10:07:07 AM,0,2
3/8/2017 10:07:08 AM,0,2
3/8/2017 10:07:09 AM,0,2
3/8/2017 10:07:11 AM,0,2
3/8/2017 10:07:12 AM,0,2
3/8/2017 10:07:13 AM,0,2
3/8/2017 10:07:14 AM,0,2
3/8/2017 10:07:15 AM,0,2
3/8/2017 10:07:16 AM,0,2
3/8/2017 10:07:18 AM,0,2
3/8/2017 10:07:19 AM,0,2
3/8/2017 10:07:20 AM,0,2
3/8/2017 10:07:21 AM,0,2
3/8/2017 10:07:22 AM,0,2
3/8/2017 10:07:23 AM,0,2
3/8/2017 10:07:24 AM,0,2
3/8/2017 10:07:25 AM,0,2
3/8/2017 10:07:27 AM,0,2
3/8/2017 10:07:28 AM,0,2
3/8/2017 10:07:29 AM,0,2
3/8/2017 10:07:31 AM,0,2
3/8/2017 10:07:32 AM,0,2
3/8/2017 10:07:33 AM,0,2
3/8/2017 10:07:34 AM,0,2
3/8/2017 10:07:35 AM,0,3
3/8/2017 10:07:36 AM,0,2
3/8/2017 10:07:38 AM,0,2
3/8/2017 10:07:39 AM,0,2
3/8/2017 10:07:40 AM,0,2
3/8/2017 10:07:41 AM,0,2
3/8/2017 10:07:42 AM,0,2
3/8/2017 10:07:43 AM,0,2
3/8/2017 10:07:44 AM,0,2
3/8/2017 10:07:46 AM,0,2
3/8/2017 10:07:48 AM,0,2
3/8/2017 10:07:49 AM,0,2
3/8/2017 10:07:50 AM,0,2
3/8/2017 10:07:51 AM,0,2
3/8/2017 10:07:52 AM,0,2
3/8/2017 10:07:54 AM,0,2
3/8/2017 10:07:55 AM,0,2
3/8/2017 10:07:56 AM,0,2
3/8/2017 10:07:57 AM,0,2
3/8/2017 10:07:58 AM,0,2
3/8/2017 10:07:59 AM,0,2
3/8/2017 10:08:00 AM,0,2
3/8/2017 10:08:02 AM,0,2
3/8/2017 10:08:03 AM,0,2
3/8/2017 10:08:04 AM,0,2
3/8/2017 10:08:05 AM,0,2
3/8/2017 10:08:06 AM,0,2
3/8/2017 10:08:07 AM,0,2
3/8/2017 10:08:08 AM,0,2
3/8/2017 10:08:10 AM,0,2
3/8/2017 10:08:11 AM,0,2
3/8/2017 10:08:13 AM,0,2
3/8/2017 10:08:14 AM,0,2
3/8/2017 10:08:15 AM,0,2
3/8/2017 10:08:16 AM,0,2
3/8/2017 10:08:17 AM,0,2
3/8/2017 10:08:18 AM,0,2
3/8/2017 10:08:19 AM,0,2
3/8/2017 10:08:21 AM,0,2
3/8/2017 10:08:22 AM,0,2
3/8/2017 10:08:23 AM,0,2
3/8/2017 10:08:24 AM,0,2
3/8/2017 10:08:25 AM,0,2
3/8/2017 10:08:26 AM,0,2
3/8/2017 10:08:27 AM,0,2
3/8/2017 10:08:29 AM,0,2
3/8/2017 10:08:30 AM,0,2
3/8/2017 10:08:32 AM,0,2
3/8/2017 10:08:33 AM,0,3
3/8/2017 10:08:34 AM,0,2
3/8/2017 10:08:35 AM,0,2
3/8/2017 10:08:37 AM,0,2
3/8/2017 10:08:38 AM,0,2
3/8/2017 10:08:39 AM,0,2
3/8/2017 10:08:40 AM,0,2
3/8/2017 10:08:41 AM,0,2
3/8/2017 10:08:42 AM,0,2
3/8/2017 10:08:43 AM,0,2
3/8/2017 10:08:45 AM,0,2
3/8/2017 10:08:46 AM,0,2
3/8/2017 10:08:47 AM,0,2
3/8/2017 10:08:48 AM,0,2
3/8/2017 10:08:49 AM,0,2
3/8/2017 10:08:50 AM,0,2
3/8/2017 10:08:51 AM,0,2
3/8/2017 10:08:52 AM,0,3
3/8/2017 10:08:53 AM,0,2
3/8/2017 10:08:54 AM,0,2
3/8/2017 10:08:56 AM,0,2
3/8/2017 10:08:57 AM,0,2
3/8/2017 10:08:58 AM,0,2
3/8/2017 10:08:59 AM,0,2
3/8/2017 10:09:00 AM,0,2
3/8/2017 10:09:01 AM,0,2
3/8/2017 10:09:02 AM,0,2
3/8/2017 10:09:04 AM,0,2
3/8/2017 10:09:05 AM,0,2
3/8/2017 10:09:06 AM,0,2
3/8/2017 10:09:07 AM,0,2
3/8/2017 10:09:08 AM,0,2
3/8/2017 10:09:09 AM,0,2
3/8/2017 10:09:10 AM,0,2
3/8/2017 10:09:12 AM,0,2
3/8/2017 10:09:13 AM,0,2
3/8/2017 10:09:14 AM,0,2
3/8/2017 10:09:15 AM,0,2
3/8/2017 10:09:16 AM,0,2
3/8/2017 10:09:17 AM,0,2
3/8/2017 10:09:18 AM,0,2
3/8/2017 10:09:20 AM,0,3
3/8/2017 10:09:21 AM,0,2
3/8/2017 10:09:22 AM,0,2
3/8/2017 10:09:23 AM,0,2
3/8/2017 10:09:24 AM,0,2
3/8/2017 10:09:25 AM,0,2
3/8/2017 10:09:26 AM,0,2
3/8/2017 10:09:28 AM,0,2
3/8/2017 10:09:29 AM,0,2
3/8/2017 10:09:30 AM,0,2
3/8/2017 10:09:31 AM,0,2
3/8/2017 10:09:32 AM,0,2
3/8/2017 10:09:33 AM,0,2
3/8/2017 10:09:34 AM,0,2
3/8/2017 10:09:35 AM,0,2
3/8/2017 10:09:36 AM,0,2
3/8/2017 10:09:37 AM,0,2
3/8/2017 10:09:39 AM,0,2
3/8/2017 10:09:40 AM,0,2
3/8/2017 10:09:41 AM,0,2
3/8/2017 10:09:43 AM,0,2
3/8/2017 10:09:44 AM,0,2
3/8/2017 10:09:45 AM,0,2
3/8/2017 10:09:47 AM,0,2
3/8/2017 10:09:48 AM,0,2
3/8/2017 10:09:49 AM,0,3
3/8/2017 10:09:50 AM,0,2
3/8/2017 10:09:51 AM,0,2
3/8/2017 10:09:52 AM,0,2
3/8/2017 10:09:53 AM,0,2
3/8/2017 10:09:55 AM,0,2
3/8/2017 10:09:56 AM,0,2
3/8/2017 10:09:57 AM,0,2
3/8/2017 10:09:58 AM,0,2
3/8/2017 10:09:59 AM,0,2
3/8/2017 10:10:00 AM,0,2
3/8/2017 10:10:01 AM,0,2
3/8/2017 10:10:03 AM,0,2
3/8/2017 10:10:04 AM,0,2
3/8/2017 10:10:05 AM,0,2
3/8/2017 10:10:06 AM,0,2
3/8/2017 10:10:07 AM,0,2
3/8/2017 10:10:08 AM,0,2
3/8/2017 10:10:09 AM,0,2
3/8/2017 10:10:10 AM,0,2
3/8/2017 10:10:11 AM,0,2
3/8/2017 10:10:12 AM,0,2
3/8/2017 10:10:14 AM,0,2
3/8/2017 10:10:15 AM,0,2
3/8/2017 10:10:16 AM,0,2
3/8/2017 10:10:17 AM,0,3
3/8/2017 10:10:18 AM,0,2
3/8/2017 10:10:19 AM,0,2
3/8/2017 10:10:20 AM,0,2
3/8/2017 10:10:22 AM,0,2
